,State,Cases,Deaths,Population,NewCases,NewDeaths,NewCases_7da,NewCases_prev1wk,NewCases_prev2wk,NewCases_prev3wk,NewCases_prev4wk,NewCases_prev5wk,NewCases_prev6wk,NewDeaths_7da,NewDeaths_prev1wk,NewDeaths_prev2wk,NewDeaths_prev3wk,NewDeaths_prev4wk,NewDeaths_prev5wk,NewDeaths_prev6wk,NewCases_next1wk,NewCases_next2wk,NewCases_next3wk,NewCases_next4wk,NewCases_next5wk,NewCases_next6wk,NewDeaths_next1wk,NewDeaths_next2wk,NewDeaths_next3wk,NewDeaths_next4wk,NewDeaths_next5wk,NewDeaths_next6wk,Cases_100k,NewCases_100k,NewCases_7da_100k,NewCases_prev1wk_100k,NewCases_prev2wk_100k,NewCases_prev3wk_100k,NewCases_prev4wk_100k,NewCases_prev5wk_100k,NewCases_prev6wk_100k,NewCases_next1wk_100k,NewCases_next2wk_100k,NewCases_next3wk_100k,NewCases_next4wk_100k,NewCases_next5wk_100k,NewCases_next6wk_100k,Deaths_100k,NewDeaths_100k,NewDeaths_7da_100k,NewDeaths_prev1wk_100k,NewDeaths_prev2wk_100k,NewDeaths_prev3wk_100k,NewDeaths_prev4wk_100k,NewDeaths_prev5wk_100k,NewDeaths_prev6wk_100k,NewDeaths_next1wk_100k,NewDeaths_next2wk_100k,NewDeaths_next3wk_100k,NewDeaths_next4wk_100k,NewDeaths_next5wk_100k,NewDeaths_next6wk_100k,Governor,Legislature,Control,Cases_pctPop,Deaths_pctPop
172,Alabama,155744.0,2548.0,4903185,1043.0,8.0,1076.857142857143,7538.0,13987.0,20179.0,26459.0,34721.0,43295.0,6.0,42.0,147.0,247.0,315.0,472.0,574.0,4421.415261457994,8366.595188612002,11490.335452453,13990.484096094006,16113.553421240998,17788.254694184987,50.638465103039835,92.30718346476988,128.19622134191013,157.8454285428502,180.21914946857987,198.36179527778995,3176.384329777481,21.271887558801065,21.962400824303856,153.73680577012698,285.26355827895543,411.5488197977437,539.6288330952228,708.1315512263967,882.9974802092926,90.17435119127657,170.63592723121812,234.3443180800439,285.3346160932946,328.6344166341062,362.7897926385602,51.96622195572878,0.16315925260825362,0.12236943945619022,0.8565860761933315,2.99805126667666,5.0375419242798305,6.4243955714499865,9.626395903886964,11.706676374642198,1.032766764930139,1.8825963830605998,2.6145499576685385,3.2192427685851173,3.6755527166235797,4.045570282944452,R,R,R,3.176384329777481,0.051966221955728774
392,Alaska,7948.0,57.0,731545,124.0,1.0,116.57142857142857,816.0,1411.0,1936.0,2484.0,2974.0,3428.0,1.5714285714285714,11.0,13.0,15.0,17.0,20.0,28.0,698.1822475786594,1322.7442986431306,1878.2445512824797,2337.9868112813,2726.9000532873997,3062.4971494867987,3.0810177701914014,6.220912780936004,9.126720291880503,11.4962619026184,13.6386650715407,15.322323939287912,1086.4676814139937,16.9504268363532,15.934963477493328,111.54474434245331,192.8794537588255,264.64537383209506,339.55532468952697,406.5368500912453,468.59728383079647,95.43941214534435,180.81516497865897,256.7503778007477,319.59576120147085,372.7590309943202,418.6341441041629,7.791728465097841,0.1366969906157516,0.21480955668189533,1.5036668967732676,1.7770608780047705,2.050454859236274,2.323848840467777,2.733939812315032,3.8275157372410447,0.42116585721881794,0.850380056037018,1.2475951980917788,1.57150440541845,1.864364471295778,2.0945155717403456,R,R,R,1.0864676814139935,0.007791728465097842
612,American Samoa,0.0,0.0,55197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,0.0,0.0
785,Arizona,219212.0,5674.0,7278717,705.0,24.0,480.0,3360.0,7552.0,12210.0,15259.0,19073.0,22932.0,16.428571428571427,115.0,265.0,401.0,544.0,745.0,990.0,2071.2981691769965,4041.3862057039805,5630.279692593991,6898.332604841009,7893.638996877999,8699.263188774989,62.86707771334932,126.32274198816049,176.72596703485942,217.88262333834973,250.47763152290008,276.6551043613099,3011.6846141978044,9.685772918496488,6.594568795572077,46.16198156900454,103.75454905033402,167.7493437373647,209.63859427423816,262.0379388290546,315.05552420845595,28.456913068292067,55.523332006231044,77.35263910650724,94.77401861950408,108.44821960900525,119.51643660242578,77.95329863765826,0.32972843977860383,0.2257069677055919,1.5799487739391431,3.6407515225554175,5.5092126813008395,7.4738446349816865,10.235320318127494,13.601298140867408,0.8637109769942878,1.7355083593463037,2.4279823907820486,2.993420727009303,3.4412332767285783,3.8008773299100636,R,R,R,3.0116846141978044,0.07795329863765826
1005,Arkansas,84821.0,1384.0,3017804,1124.0,15.0,824.5714285714286,5772.0,11610.0,18017.0,21740.0,26076.0,30056.0,19.714285714285715,138.0,218.0,444.0,523.0,645.0,743.0,4451.423244162797,8517.519875268306,11869.814754115097,14722.415775533911,17070.163579829008,19110.55002047401,87.41396684536016,162.04122687230006,224.06498199678003,276.88617700169016,320.64528743867004,358.3118108908802,2810.686181077366,37.2456262898452,27.32355807638364,191.26490653468548,384.7168338301626,597.0235310179189,720.3913839334828,864.0720205818535,995.9559997932271,147.50537954627927,282.24231511616745,393.32623172727915,487.851953789375,565.6485172605314,633.2601461352033,45.861162620236435,0.49705017290718684,0.6532659415351598,4.572861590746119,7.2237958462511145,14.712685118052729,17.330482695363912,21.37315743500903,24.620551898002653,2.896608488999291,5.369507988997962,7.424769202929681,9.175088143620002,10.625119704217704,11.873263170533281,R,R,R,2.810686181077366,0.045861162620236436
1225,California,822205.0,15973.0,39512223,3090.0,88.0,3241.285714285714,22689.0,47168.0,71244.0,96187.0,130384.0,169938.0,82.85714285714286,580.0,1169.0,1896.0,2480.0,3296.0,4163.0,18494.156454880955,33836.487327005016,46240.067332694074,55910.53292565793,64741.18747960206,71580.07525054412,430.0738794505014,800.8096608349988,1111.7369304554013,1358.8253359697992,1559.3445607356007,1729.827997185701,2080.8877293489663,7.820364852668502,8.203248180406641,57.42273726284648,119.37571824293458,180.30876167104037,243.43606281023472,329.9839647088446,430.0896965478252,46.8061654108425,85.63549392552531,117.02724833450671,141.50186620899038,163.8510378917482,181.15932189020123,40.42546530474886,0.22271589224428096,0.20970002841182298,1.467900198882761,2.9585781594723235,4.798515132899508,6.2765387814297355,8.341722509513069,10.53598022060161,1.08845781582702,2.0267390696671224,2.8136532091737823,3.4389999670982805,3.9464865359147234,4.377956657072169,D,D,D,2.0808877293489663,0.040425465304748866
1445,Colorado,71197.0,2054.0,5758736,682.0,3.0,571.5714285714286,4001.0,8072.0,11042.0,12930.0,14874.0,16986.0,3.0,21.0,48.0,75.0,99.0,123.0,151.0,2874.4717637340073,5426.752859893604,7520.048920336601,9304.729790260099,10818.132417674293,12027.931085233198,23.269483931400373,42.79582673531013,58.60548164450029,71.9712931967997,83.21648743033029,92.38075522537974,1236.3303336009847,11.842876631260749,9.925293129801897,69.47705190861328,140.16964833949672,191.74346592724515,224.52843818504616,258.2858460606633,294.96056078972885,49.91497724038761,94.23513875082317,130.58506103312604,161.57590468220974,187.8560228785326,208.86408206997504,35.66754926775598,0.05209476524014992,0.05209476524014992,0.36466335668104943,0.8335162438423988,1.302369131003748,1.7191272529249475,2.1358853748461466,2.622103183754213,0.4040727675552478,0.7431461823447043,1.017679602685386,1.2497758743724265,1.4450477922643143,1.6041845853913035,D,D,D,1.2363303336009845,0.035667549267755984
1665,Connecticut,57742.0,4511.0,3565287,192.0,3.0,181.42857142857142,1270.0,2356.0,3649.0,4533.0,5392.0,6310.0,1.7142857142857142,12.0,23.0,33.0,43.0,46.0,53.0,1135.775921402099,2074.896865764902,2839.117263053493,3474.2272276262956,3953.801592939599,4360.483887753704,5.652419284469943,11.927731828110154,16.925551874330267,21.236450354849694,24.756395580800017,27.37018303249988,1619.5610619846311,5.385260709726875,5.088750819459174,35.62125573621422,66.08163662560686,102.3480017176738,127.14263956870795,151.23607159816308,176.9843493665447,31.856507523857093,58.19719045801648,79.63222211994413,97.44593429999593,110.89714777350599,122.30386747977664,126.5255784457184,0.08414469858948243,0.048082684908275664,0.3365787943579297,0.6451093558526986,0.9255916844843066,1.2060740131159147,1.2902187117053971,1.4865563417475227,0.15854037233103374,0.33455179984416833,0.4747318203087232,0.5956449047397782,0.6943731481028039,0.7676852672028894,D,D,D,1.6195610619846312,0.1265255784457184
1885,Delaware,20787.0,636.0,973764,174.0,0.0,120.0,840.0,1469.0,2321.0,3134.0,3811.0,4069.0,0.8571428571428571,6.0,17.0,23.0,30.0,32.0,41.0,551.5180284605995,1052.6044131576018,1469.0360908779003,1816.362249938502,2109.6942997365004,2342.1220252327003,5.577207762888065,9.728546708244039,13.233904772680944,16.18737242262705,18.502993155886998,20.151098756011947,2134.7061505662564,17.86880599406016,12.323314478662182,86.26320135063526,150.85790807628953,238.353440874791,321.8438964677273,391.36792898484646,417.8630551139702,56.63775087809772,108.09646004140653,150.86161440327433,186.53002677635462,216.65355257911574,240.52255220286438,65.31356673690956,0.0,0.08802367484758701,0.616165723933109,1.7458028844771425,2.361968608410251,3.0808286196655454,3.2862171943099145,4.210465780209578,0.5727473764575467,0.9990661708837089,1.3590464191201301,1.6623506745604737,1.9001516954710789,2.0694027255076124,D,D,D,2.1347061505662563,0.06531356673690956
2105,District of Columbia,15326.0,627.0,705749,0.0,0.0,31.428571428571427,220.0,536.0,914.0,1191.0,1532.0,1917.0,0.8571428571428571,6.0,8.0,11.0,18.0,22.0,26.0,215.87817975110192,365.1375883714991,488.0914756968996,589.2798312900995,669.8381051792985,734.6842753625006,2.4687259343450023,4.518061612871975,6.023767457626036,7.462560719804969,8.47173186078794,9.276372094793032,2171.593583554493,0.0,4.453222240282512,31.172555681977588,75.94768111609085,129.50779951512507,168.75688098743322,217.07434229449848,271.62631473795926,30.588520812796325,51.737599114061666,69.15935774572824,83.49708342344084,94.91166196187292,104.09993855641319,88.84178369363612,0.0,0.1214515156440685,0.8501606095084796,1.1335474793446394,1.5586277840988791,2.550481828525439,3.1172555681977583,3.6840293078700785,0.34980225750868965,0.6401796690993504,0.8535283022187826,1.0573958616739052,1.2003887870599803,1.3144010256894494,D,D,D,2.1715935835544933,0.08884178369363613
